No,pesan,label
658,silahkan diskusi dl jawabannya kelompok pawawa,percaya
659,"""baik elsaa terimakasih. jawaban yg informatif""",percaya
660,silakan dikerjakan,percaya
661,silahkan,percaya
662,mengerti,percaya
663,sudah tidak perlu minta maaf masal,percaya
664,"""oke temen"""" buat yang mau bertanya dipersilahkan. 3 pertanyaan ya..""",percaya
665,saya kasih waktu 5 menit lagi untuk membaca slide saya yang pemodelan dengan DFD,percaya
666,untuk moderator @Dimas Panji Prasetya ya,percaya
667,makanya kita mesti ngitung equivalent unit dulu... artinya kita meng-ekivalensikan nilai unit barang setengah jadi ke nilai produk akhir,percaya
668,ada lagi yang ingin ditanyakan,percaya
669,Begini bu?,percaya
670,ini contohnya rama,percaya
671,ada yang tahu apa itu context diagram?,percaya
672,Buka dilaptop gih,percaya
673,coba di refresh lagi web.whatsapps nya,percaya
674,Kalo uda keluar ship to party berat dll baru di save,percaya
675,sabar- sabar jangan nyolot fal,percaya
676,saya beri waktu 10 menit untuk explore terkait DFD,percaya
677,Iyah baik pak,percaya
678,"""Baik bu dapat dimengerti terimakasih bu""",percaya
679,"""ada 3 pak proccurementsales order management dan production""",percaya
680,Iya tanyain aja... Ntar sekalian minta tambahan aja yak,percaya
681,"""betul mona itu berarti tidak sesuai dengan keadaan perusahaan. percuma buat perencanaan tapi tidak bs dijalankan""",percaya
682,Okey ringgal save ada di bawah ha,percaya
683,jadi kita gambarkan dulu ruang lingkup dari sistem yang akan kita bangun,percaya
684,ada yang bisa memberikan contoh?,percaya
685,okay kalau sudah..sy akhiri ya.,percaya
686,"""iya betul jadi apa bedanya sama bahasa yang formal""",percaya
687,ya betul semua,percaya
688,Iya fer aku juga merasa,percaya
689,Sudah saya rubah pak,percaya
690,Regi coba ulangi lagi dr awal kalo gt,percaya
691,"""ayo pak di mulai saja perkuliahannya",percaya
692,Selection datenya blm diubah,percaya
693,nggk boleh males teung,percaya
694,sesi diskusi dibuka yaa..silahkan apabila ada pertanyaan,percaya
695,Iya gpp,percaya
696,Kalian yakin nomor hape sdh diupdate?,percaya
697,"""Mudah2an aman2 aja ya""",percaya
698,Kalian yg msh aktif buka WA dan mau diabsen silakan isi chat,percaya
699,iya ini mau sy tutup yaa,percaya
700,Gpp back aja,percaya
701,Pas di gantinya kamu klik simpan kan ja?,percaya
702,Iteungnya mana,terkejut
703,ga usah ubah2 lagi di cpanel,terkejut
704,Pak emang besok masuk pak?,terkejut
705,di buat yang aneh aneh,terkejut
706,udah dijelaskan sm saya kemarin pak,terkejut
707,Liat config .htacess nya,terkejut
708,Oh..,terkejut
709,gue di serang pak cahyat malam ini,terkejut
710,helloooo netizen salah input nilai,terkejut
711,Saha heru suroso,terkejut
712,Kok aneh ya,terkejut
713,apaan?,terkejut
714,Ga ada no hp,terkejut
715,Kok bisa ke get wkwkkw,terkejut
716,query mu gimana?,terkejut
717,Kayaknya angga yg salah wkwkw,terkejut
718,wouw beres?,terkejut
719,Oiya,terkejut
720,Kayaknya yg pak fachri mau ngajar itu,terkejut
721,Belum bisa make iteung pak,terkejut
722,Soalnya di seleniumnya ga ada pak,terkejut
723,Itu absennya gimana ua,terkejut
724,Bedanya kelas biasa sama kapita selekta apa ga?,terkejut
725,Dan muncup di selenium website siap,terkejut
726,Kalo kapita selekta kan banyak dosen pak,terkejut
727,Bentar pak,terkejut
728,"""oke kemaren belum diabsen kelas 3A absen ulang dulu presensi kemaren tapi sebelumnya login siap update dulu profile bagian nomor handphone di update pake nomor yang dipakai di wa kelas ini""",terkejut
729,Mohon maaf pak bagaimana teman kita yg sedang melaksanakan nyepi hari ini?,terkejut
730,ya besok lah. kadek kan?,terkejut
731,adalagi selain kadek?,terkejut
732,kalo ga salah Ai itu udah nyampe pertemuan 4 apa 5 gitu,terkejut
733,sepertinya ga akan di waro hari ini sama kelas 3A,terkejut
734,Tapi disini baru 1 pak,terkejut
735,karena hari ini libur,terkejut
736,Kemaren 1 itu pun si iteung yg input,terkejut
737,Sehabis yg bapak bahas monitor monitor itu,terkejut
738,mana ini stikernya,terkejut
739,Mana yg lain nih,terkejut
740,Pak angga mau nanya,terkejut
741,Kalo misalkan ada 4 unread message,terkejut
742,4 itu harus di process si iteung buat ngebales ga pak? Atau tetep ambil yg terakhir?,terkejut
743,Sudah pak,terkejut
744,Input absensi pak?,terkejut
745,mati atau ke blokir,terkejut
746,"""Eh udah ditutup?""",terkejut
747,Btw,terkejut
748,Yg ke absen cuman evietania,terkejut
749,oh udah ya. tapi cuman evi aja yang keabsen,terkejut
750,sesuai amal,terkejut
751,Yg atas nama ikrima itu angga cek si siap juga ga ada pak absennya,terkejut
752,oh memang bermasalah di adminitrasi. ok lah. diluar scope kita,terkejut
753,Sekarang aktif lg,terkejut
754,Anak walian pak cahyo,terkejut
755,Baru aja pak cahyo telppn,terkejut
756,"""TKDA dan TOEP walaupun nilainya pas pasan gpp kali ya karena corona mau ujian dimana""",terkejut
757,Di RSKG butuh bantuan masyarakat pak,terkejut
758,Pak jadi kekampus?,terkejut
759,"""Naon eta wwkwk""",terkejut
760,kunaon eta?,terkejut
761,eh ini kodingan nya udah diperbahuri?,terkejut
762,"""Pak ijin bertanya jika di KAK nya sendiri sudah ada nama dari yang mengisi di bagian struktur tidak perlu memakai nama teman pak?""",terkejut
763,"""pak ijin bertanya lagi yang di header pak bagian nama proyek dan sistem apa disamain pak?""",terkejut
764,Siapa yg ngajarin pantun,terkejut
765,buset abis oplas,terkejut
766,Babang tamfan,terkejut
767,wiibu,terkejut
768,Ada event dimana bang?,terkejut
769,ini yang di sarinah dulu yak,terkejut
770,Bingung pak algoritma nya dia nangkap pantun jadi absen gimana...,terkejut
771,nutup perlkuliahan gimana,terkejut
772,Pak ini dobel pak,terkejut
773,ada yang gak terinput namanya,terkejut
774,apakah penyebabnya,terkejut
775,Wkwk gak ada serangan dari negara api,terkejut
776,Nah,terkejut
777,Ga sekalian minta di kirimin proposal nya?,terkejut
778,"""Wkwkwk ayo Zhunnun kau darimana aja baru cek grup sekarang""",terkejut
779,Betol ya,terkejut
780,Nahhh,terkejut
781,Haha masa blom ngerti jga ya hehe,terkejut
782,eh emang bisa ya,terkejut
783,Asal nomernya temuin dengan kode mk di group,terkejut
784,Pengecekan apa pak?,terkejut
785,kelas siapa dek?,terkejut
786,sampai jam berapa dek?,terkejut
787,jam 11 kumaha?,terkejut
788,Kadek Di bdg? Ato Di Bali?,terkejut
789,"""Pertanyaannya apa kok jawabannya ga nyambung ya""",terkejut
790,Atau emang overload vl pak komputasinya jadi ngaco?,terkejut
791,karena di modul tidak diberitahu,terkejut
792,Bu nisa yg make vl pa,terkejut
793,berapa?,terkejut
794,Ada nomor pak amrinya pak?,terkejut
795,Oh bentar,terkejut
796,Tapj di issues bapak bikin ada,terkejut
797,Sopo iki?,terkejut
798,ada yang dihapus?,terkejut
799,user IRC?,terkejut
800,astagfirullah. malah main cabe cabean....,terkejut
801,Sekarang nambah menunya jadi 3,terkejut
802,tapi kenapa jadi heru suroso ya?,terkejut
803,Ngetik apa sih sini wkwkwkkwk,terkejut
804,Buat?,terkejut
805,Brati bikin di visio langsung dikirim? Ngga dikasih keterangan lagi gitu pak?,terkejut
806,"""Izin bertanya pak Untuk upload ke repo nya ke folder tugas 4 ya pak?""",terkejut
807,ruangan ngajar ambil di tabel mana ri?,terkejut
808,wah kenapa ini,terkejut
809,Atau kode prefix trx id ga perlu disimpan ke database?,terkejut
810,Kenapa ya pa,terkejut
811,Mksdnya,terkejut
812,Emang mw diapakn itu datanya,terkejut
813,Kepentingan sekarang jni mendesak gak,terkejut
814,Mesesge anak anak waktu chatt ya,terkejut
815,Kita ngechat disini pun ke rekam sama siiteung,terkejut
816,log tetap jalan merekam semua untuk riset big data tahun ini,terkejut
817,udah di push?,terkejut
818,mencurigakan ngapain si hape ada di kolong kasur ri?? waduh semalam nonton apaan ri?,terkejut
819,Pak kudu pakai API,terkejut
820,Sudah semua absen?,terkejut
821,Sejauh ini yg mengumpulkan di VL baru 22 orang,terkejut
822,Saya masih proses bu,terkejut
823,Kok new line nya nggak kebaca ya pak?,terkejut
824,temen mu burhan bukan orang sunda?,terkejut
825,Ada yg belum sidang proyek 2?,terkejut
826,Oke nomor 1 Dan 2 dijadwalkan Hari senin sidang via Google meet. Untuk 3 Dan 4 kayaknya ga dilulusin sama pembimbing nya ya?,terkejut
827,eh aneh,terkejut
828,kenapa ITeung dipanggil erik ga nyaut ya,terkejut
829,Ngga pak seriusan,terkejut
830,"""Owh iya pak. Maaf pak maksud bapak yang bahas inggris di ganti ke sunda semua ya pak?""",terkejut
831,Aduh sulittt...untuk di jelaskan,terkejut
832,Udh dirubah blm nmr hp nya di sistem?,terkejut
833,Haaaa,terkejut
834,Haaa,terkejut
835,Yeay direspon juga akhirnya,terkejut
836,Chat disini atau pc bu?,terkejut
837,Emang iteung mau kemana,terkejut
838,Haa,terkejut
839,Eh dia jawab,terkejut
840,"""Punten bu no WA yah ini teh? Soalnya nomer WA sama telpon biasa saya beda bu""",terkejut
841,lahh kocak,terkejut
842,harusnya kelas A bukan kelas B,antisipasi
843,klw mau update harus setting httaccsessnya direct fitu,antisipasi
844,oh iya kalo dia pake apache ya harus setting juga itu htacess,antisipasi
845,Bisa minta tolong ga pak,antisipasi
846,Kasih dong aksesnya hehehe,antisipasi
847,Kalo kelas biasa dia fix pasti dosen itu yg ngajar,antisipasi
848,tetep di layani,antisipasi
849,Udah disiap itu pak laporannya,antisipasi
850,Kalo ada npm sama jadiin hadir terus masukin nomernya ke list,antisipasi
851,Coba lagi pak iteung kelas daring selesai,antisipasi
852,yang nama ambilnya jangan dari nama group baiknya. yang penting kode kelas sama kelasnya,antisipasi
853,hub dosen wali dulu,antisipasi
854,telpon dosen walinya,antisipasi
855,Iya pak sudah,antisipasi
856,cobain rapat,antisipasi
857,"""Untuk struktur organisasi tidak harus spt di contoh tetapi sesuaikan dengan permintaan yg ada di KAK apa saja yg wajib ada dan boleh di tambahkan dari permintaan KAK sesuai dengan kebutuhan yg di inginkan""",antisipasi
858,Nanti diajarin,antisipasi
859,Ke 5 bapak,antisipasi
860,"""Ok Dhan mungkin teman-teman bisa download dulu kali ya""",antisipasi
861,"""jaga kesehatan kalian ya jangan lupa cuci tangan, jaga jarak, dan makan yang teratur""",antisipasi
862,"""Siap pak, semoga kita selalu dalam lindungannya""",antisipasi
863,"""saya akan bertanggung jawab nanti di semester depan, database II saya akan ulang lagi pertemuan basis data 1 ini""",antisipasi
864,coba diulangin lagi ya,antisipasi
865,saya yang ganti apamu,antisipasi
866,siapa yang setuju,antisipasi
867,sekalian di koreksiin gitu,antisipasi
868,Yg antisipasi atuh,antisipasi
869,Iya pak biarkan kami yang memberi arahan rekan saya satu ini,antisipasi
870,oh iya ga ada pengecekan,antisipasi
871,angga liburan dulu ke VA. lebih ringan,antisipasi
872,kalem konversikeun deui ka bahasa manusia.,antisipasi
873,Untuk mengobraknngabrik aturan yg gak jelas,antisipasi
874,"""Iya, mending terpusat Kalo server..lbh enak monitoring nya""",antisipasi
875,Tp sy gak tw yg mana yg kemampuannya bagus kayak 3 org TLH ini,antisipasi
876,Disitulah ntr ego kita muncul dan bisa sedikit mensentil org org yg mau macem macem,antisipasi
877,siang kita google meet ya,antisipasi
878,ini nunggu kabar nu lain,antisipasi
879,Jd klw ada apa apa tinggal cabut semuanya,antisipasi
880,Pakai google form aja,antisipasi
881,ada scroll kebawah,antisipasi
882,Baik pak abis dinda kerjain tugas langsung dinda perbaharui,antisipasi
883,compress,antisipasi
884,coba ganti jadi background,antisipasi
885,"""coba tambah 1 hari,cari hari yg bisa""",antisipasi
886,pantes istri ngomel,antisipasi
887,apakah heru masih ada atau tidak,antisipasi
888,tugas kalian adalah buat ER-Diagram dari perancangan database kemarin kirim di repo git hub saya ya,antisipasi
889,Pak kalau pake Libre draw bagaimana ?,antisipasi
890,"""Mungkin maksudnya file nya export gambar saja atau dibuatkan laporan nya begitu pak""",antisipasi
891,Yg ini udah ga perlu pak,antisipasi
892,Mau nanya pa,antisipasi
893,Itu data lumayan loh pak,antisipasi
894,Please di penggal aja,antisipasi
895,Saya menyarankan ngga klw kelas aktif aja massege direkam,antisipasi
896,Nanti prosesnya make gpu,antisipasi
897,angga solusinya simple,antisipasi
898,Ini udah dinda bikin pak,antisipasi
899,di data[2] di normalize dulu,antisipasi
900,jadi tau sisanya berapa biar log nya di dump dikirim ke server ip 2. sudah disiapkan server sql dump log di 192.168.1.2,antisipasi
901,ok sok di coba coba dulu,antisipasi
902,"""itu karena di query si variabel nya kan pake petik satu. kalo query variabel nya pake petik dua pasti yang masalah petik dua. jadi seperti memotong query kalo pake petik satu atau petik dua. nah ini celah juga keamanan di iteung persolan ini dibahas dengan topik SQL Injection""",antisipasi
903,Jadi sebelum di insert data[3] nya di replace dulu,antisipasi
904,betul. kalo bisa dibuat fungsi sendiri untuk normalize terhindar dari beberapa karakter yang memungkinkan sql injection,antisipasi
905,yang bahaya misal saya ketik DROP table *,antisipasi
906,Mau di tambahin ruangannya pak? Nanti dinda tambahin lagi pak,antisipasi
907,Deputy dan wadir 1 bakalan buat pengumuman,antisipasi
908,Serangan netizen bakalan dimulai siang ini,antisipasi
909,ayo temen-temen yang belum join,antisipasi
910,oke saya cek duly,antisipasi
911,pake google translate aja. ada pilihan sunda,antisipasi
912,yaudah pake google translate aja,antisipasi
913,atau minta temen sekelasmu yang orang sunda translate in,antisipasi
914,Kaka atau ade yg cewe,antisipasi
915,Abis itu di split make spasi,antisipasi
916,"""Buat typing linebreak sama send angga pisah""",antisipasi
917,Berarti mending pake #N# aja ya biar bisa split,antisipasi
918,Replace aja pa,antisipasi
919,oh i see,antisipasi
920,Mhn dimaafkan kl bahasanya kacau ya. yg mau kenalan boleh. Tp hati2 iteung galak.,antisipasi
921,Ga akan dibales kalo ga disebut namanya,antisipasi
922,Semoga semuanya cepat pulih amiinn,antisipasi
923,Karna itu yang aktif dari sebelum perkuliahan sampai selesai perkuliahan kayanya,antisipasi
924,Yg tdk ada apakah sdh mengupdate no hp di profil SIAP sesuai petunjuk di atas,antisipasi
925,nah nanti akan otomatis direkap,antisipasi
926,saya akan update sama itueng tiap 30 menit yah.,antisipasi
927,sebentar saya reset kembali,antisipasi
928,naahh kmrn kita baru bahas nya baru pusat dan 1 cabang...nah skrg gmn kalau cabangnya banyak,antisipasi
929,klo ini biasanya masalah koneksi silahkan coba lagi,antisipasi
930,kalo males ngetik boleh voice msg,antisipasi
931,seperti biasa setiap pertemuan dikumpulkan hasil praktikumnya,antisipasi
932,karena klo tidak salah blue bird juga punya aplikasi sendiri,antisipasi
933,Ibu rizki masih kurang paham yang Mst di bagian kelas jalan,antisipasi
934,mudah2 an ke depan tidak ada lagi,antisipasi
935,"""oh iya bekasi merah...jgn panik tetep jaga kesehatan + ikuti intstruksi pemerintah""",antisipasi
936,Sabtu paling pak,antisipasi
937,menurut mu atau copas dari internet,antisipasi
938,Nazila minggu kmarin absennua sdh tdk masuk ya. Kl minggu ini tdk aktif jg artinya tdk masuk lg,antisipasi
939,"""Baik setelah saya cek yang mengumpulkan tugas baru 5 orang untuk itu silahkan di lanjutkan tugas yang diberikan. batas pengumpulan nanti malam.""",antisipasi
940,hanya sbelumnya saya hrs pastikan klo semua sdh instal SAP GUI,antisipasi
941,rewuest delivery date ati2 salah ya,antisipasi
942,"""Rama coba dibaca dl slidenya. dari slide 12. atau lebih jelas di slide 15. Rencana Operasional itu adalah turunan dr renstra. bagaimana menjalankan rncana strategisnya""",antisipasi
943,jangan lupa nomer PO nya,antisipasi
944,"""Bukan seperti itu mksdnya sebelum kita berbicara lebih baik persiapkan dahuluu apa yg mau di omongkan agar tidak terjadi salah komunikasi""",antisipasi
945,okay..udah ya materi yg utang obligasi nya,antisipasi
946,"""menurut saya mah sepintar2nya kita mengakalinya mel dan sesuai budget yang kita punya juga""",antisipasi
947,jangan sampe anggaran minim sedangkan perencanaannya waahh gituu,antisipasi
948,apabila tidak konsisten semua langkah diulangi lagi dari awal,antisipasi
949,yang ini cara nya sudah benar tapi ada perhitungan yang kurang tepat,antisipasi
950,Rencana strategis. Berarti rencana jangka panjang.,antisipasi
951,nanti kamis utk yg mau ditanyakan utk bab 3 ya,antisipasi
952,ngantuk cuci muka dulu,antisipasi
953,"""Sy coba LG Kalo Ga Ada berarti sudah ditutup jadwal input absen nya""",antisipasi
954,kita harus liat sikon dulu sblm menyampaikan cari yang pas kata katanya,antisipasi
955,Sambil nunggu yg masih belum yg uda kita lanjut ke task 3 yaa,antisipasi
956,bener udah dirubah..???depannya udah 628...yg 0 nya diganti 62 tanpa +,antisipasi
957,"""sok makanya dibaca dlu..nanti kalau udah sy tutup ga ada di absennya ga tanggung jawab ya..krn hrs dirubah yg di nome SIAP nya""",antisipasi
958,Yang ini ikutin dl langkah2 nya tp kalo uda ktmh with reference jangan langsung clik 2 kali. Add to favorite dl,antisipasi
959,"""ini yang saya sebutkan dimana Context Diagram disebut sebagai level 0. ada 2 pemahaman mengenai ini baca lagi yang saya """"catat""""""",antisipasi
960,Bu saya ga paham yg exponensial bu,antisipasi
961,"""setuju buu, krn saya pernah punya pengalaman orang dekat saya sudah punya ilmu tinggi, tapi dia tetap datengin workshop yg levelnya dibawah dia. jadi tetap mau belajar dari orang lain sekalipun masih dibawahnya. siapa tau dia blm punya ilmu yang orang lain punya. dan disitu pun jadi belajar buat rendah hati juga bu.""",antisipasi
962,Itu salah nomer dokumen,antisipasi
963,jadi kl di moving average ini kalian memang memvariasikan n nya dengan patokannya adalah yg menghasilkan error terkecil,antisipasi
964,seharusnya diantaranya ada proses,antisipasi
965,Perusahaannya sama. Tp analisisnya pasti berbeda nnti. Agar memperkaya bs dimasukan ke MP,antisipasi
966,Bu edo ngerjainya nunggu setelah kelas selesai ya bu . Pinjem laptop fadil soalnya,antisipasi
967,menyimak saja lewat wag di lihat saja disimak video nya,antisipasi
968,Dilengkapi nomer dokumennya,antisipasi
969,Bisa baca dulu ya PPT-nya,antisipasi
970,ada yg ditanyakan???,antisipasi
971,yg belum ada coba cek siap dan no tlp nya apakah sdh sesuai format,antisipasi
972,Punya nabil ngga bs dirubah. Harus ulangi dr task 2. Sok diulang dl ati2 salah input lagi.,antisipasi
973,"""kalau kalian hitung2 langsung ya pasti hasilnya segitu tapi itu salah""",antisipasi
974,"""Oh ya saya lupakarna kita UTS nya nanti online tolong di cek VL nya. Jika masih error tdk bisa log in silahkan hubungi TIK""",antisipasi
975,Banyak yg kelewat ntar,antisipasi
976,Iya tinggal jelasin ke baak aja,antisipasi
977,"""Rumus nya beda teh tpi cara pengerjaan nya sama""",antisipasi
978,Udah semua ya yg eror2 kecuali td yg harus ngulang dr task 2,antisipasi
979,nanti kita ketemu rabu ya..utk kelanjutannya,antisipasi
980,Masukin nomer dokumen masing2 yaaaaa. Jangan yg punya saya 15839. Masukin yg td punya kalian yg uda dibuat di task 2,antisipasi
981,kalau saya bilang kelas ditutup pasti rame bales ini,antisipasi
982,Ahhh jelek lu teung,jijik
983,Oke,jijik
984,Maless,jijik
985,Najis teuing,jijik
986,Pantun andalan si iteung,jijik
987,"""Tetep Jaga kesehatan ikuti instruksi pemerintah dan kampus... Bukti absen selfie yg skrg sistem absen tidak bisa baca Kalo foto lama hrs yg skrg""",jijik
988,Njir di crop,jijik
989,Watashi mau ke tokyo,jijik
990,Ikan hiu makan gass... Gass kannn kuliah daring nya,jijik
991,Iteung beli parfum.. Assalamualaikum,jijik
992,Yg gak pakai pantun ntr iteung gak bs rekap,jijik
993,yokata,jijik
994,Eaa,jijik
995,"""Dua tiga empat lima nama saya R. Bimnantoto Putra""",jijik
996,Eaaa biaa bebas,jijik
997,"""Dua tiga empat lima nama saya R. Bimnantoro putra""",jijik
998,"""Superee coup de burst""",jijik
999,Ikan hiu makan corona... Astaghfirullah :( auto matia,jijik
1000,"""Dua tiga empat lima nama saya R. Bimantoro putra""",jijik
1001,"""Jalan jalan ke kota Madinahnama saya Naurah Nazifah(1194028)""",jijik
1002,Petrolina Anastasia Gatto D4TI1A hadir pakk,jijik
1003,"""dua tiga tutup botol muka iteung kaya botol""",jijik
1004,"""Jalan jalan bersama rini nama saya Fanny Devita Inggarini (1194015)""",jijik
1005,"""Ke Bandung pergi tamasya perkenalkan saya Salsa""",jijik
1006,"""Dua tiga empat lima nama saya R. Bimantoro putra (1194031)""",jijik
1007,"""Dari Jakarta Ke Surabaya perkenalkan nama saya Artha Glory Romey Manurung(1194005) hadir dari kelas d4TI 1A""",jijik
1008,"""Ke Bandung pergi tamasya perkenalkan saya Salsa (1194034)""",jijik
1009,ArigatÅ iteung,jijik
1010,Sya bisa salto hey,jijik
1011,"""Ombak datang menghajar karang deriska fadilla akan datang""",jijik
1012,"""Ada bola tapi bukan sepak Muhammad Farhan Faridz Sofyan hadir pak""",jijik
1013,"""Buah mangga buah duren itulah buahÂ²an saya khoirul aziz 1194019 hadir""",jijik
1014,"""Awas kalo ga ada kata2 puisi nya wkwk""",jijik
1015,Gak usah pakai vl,jijik
1016,rajin amat ya. keknya si rehan wahyu innal bek bek aja ... malah masih molor wkwkwkwk,jijik
1017,banyak duid dia,jijik
1018,gabagi bagi,jijik
1019,Aseliiii,jijik
1020,teung jelek,jijik
1021,"""bahasa sunda atau basa indonesia. dan tetap gaul serta centil nakal dikit""",jijik
1022,oh jomblo kesepian 1 muncul,jijik
1023,"""Biar jomblo tapi selir banyak pak ehh keceplosan""",jijik
1024,Uhh syang2,jijik
1025,Kangen iteung,jijik
1026,Karna deta selalu memahami orang,jijik
1027,Kalo dichat pribadi boleh ga Bu?biar gagabut hehehe,jijik
1028,Ibu saranghaee,jijik
1029,Kenapa Iteung teh? Gelo mereun,jijik
1030,hallo iteung cantikkkk,jijik
1031,"""Engga ribut iteung aku sayang km:))""",jijik
1032,Butuh pulsa murah? Diamond game murah? Cek faiz.store iteung :D,jijik
1033,Rindu aja,jijik
1034,maaf menggagu iteung saya mau bertanya apakah no saya 6285368594499 udh terdaftar di sistem siap Iteung? Terimakasih,jijik
1035,Iya kamu cuman noda tak tersamarkan iteung,jijik
1036,Iteung bisa ajari kami pelajaran HUKUM BISNIS ngk?,jijik
1037,Aku lgi nonton itaewon class,jijik
1038,Hahah ngga kok kan aku ganteng,jijik
1039,"""Aku cantik lebih dari kamu eakkkk""",jijik
1040,BYE pen Bobo,jijik
1041,rindu ama iteung heheh,jijik
1042,Kamu lucu,jijik
1043,lopyu iteung,jijik
1044,"""Iya bu glowing""""""",jijik
1045,caranya emang gini?,jijik
1046,Jiwa anak kosan ku meronta2,jijik
1047,beli aqua nongkrongnya berjam jam . hahaha,jijik
1048,Skincare nya mahal-mahal buu,jijik
1049,Lagi curhat ya,jijik
1050,"""Bilangnya gaada uang padahal uangnya banyak :)""",jijik
1051,kamu jelek,jijik
1052,Anjay,jijik
1053,iteung jan lupa istirahat wkwkw,jijik
1054,Ngambek dong,jijik
1055,Cakep,jijik
1056,Lemot bener,jijik
1057,"""Pantes dari tadi minta gabung gak bisa2""",jijik
1058,Kereeen,jijik
1059,Mon maap ya gais becanda sayang,jijik
1060,Gini mentemen?,jijik
1061,Cupcuppp ansal juga manusia tidak luput dari dosa,jijik
1062,Teman2 lg serius ngerjain tugas,jijik
1063,yuiiii,jijik
1064,biarkan bulgoso,jijik
1065,Saya kira gada kuliah bu wkwk,jijik
1066,Jengkol enaq tau iteung :(,jijik
1067,Tau ko pak,jijik
1068,"""Jalan jalan ke bekasi apasi""",jijik
1069,Wkwkwkk cinta itu kan buta er,jijik
1070,Gaje,jijik
1071,Pen nanya,jijik
1072,Uhhh soscweettttt,jijik
1073,Udah la we biar kan aja si ietung berkembang biak :(,jijik
1074,Kluarin aja cuk iteung nya,jijik
1075,iteung puji shelly ya,jijik
1076,Sini sini aku gotong wkwk,jijik
1077,Iteung salting det,jijik
1078,Jutek amat wkwkwk,jijik
1079,Bohong ah disebelah dia curhat,jijik
1080,Tpi ga tau ee,jijik
1081,bagiku kau segalanya teung,jijik
1082,minumnya air kw ya gini efeknya,jijik
1083,Iteung i love you,jijik
1084,najis wkwkwkwk,jijik
1085,Iteung jangan sok cantik wkwk,jijik
1086,Aman,jijik
1087,Nabil sudah ditahap ini bu,jijik
1088,sumpah ngeselin ini simsimi,jijik
1089,Iyah bu bikin ngakak,jijik
1090,Njirrrrr,jijik
1091,jijah udah nanya belum sebelumnya? kalau belum sok buat jijah ajaa,jijik
1092,Aku gk sayang kamu,jijik
1093,Nanti di cobain gaes,jijik
1094,"""Iyaa bebb benar atau bikin suatu web faq tentang dana yg nyantumin misal pertanyaan yg kamu tadii terus ada jawaban nya jgaa di bawah. Yg nyantumin kelegalan si dana nya""",jijik
1095,Bangke lu,jijik
1096,Baikk syifaaa,jijik
1097,Ihh ada wanaa wkwk,jijik
1098,Ihhhh wannnaa lucu banget,jijik
1099,Opppaaaaa,jijik
1100,Bu kangen suara ibu jugaaa,jijik
1101,Emang aku perempuan susah di mengerti,jijik
1102,Faqih klick muncul ini,jijik
1103,hayo ola nyawa kamu terancam,jijik
1104,Serem Ada corona,jijik
1105,Ijal ganteng nggk ada yang punya wkkw,jijik
1106,I love u buat orang tersayang,jijik
1107,"""makan ketan buru-burulupakan mantan cari yang baru""",jijik
1108,"""terbukti ternyata kelas 1b bucin""",jijik
1109,"""kawan rendi namanya nandamacam iye naaa :((""",jijik
1110,love you,jijik
1111,vidioin dong kirim sini,jijik
1112,Gausah sok manis,jijik
1113,tolong jangan sebut nama mereka disini rie,jijik
1114,umur ga masalah yang penting tatih tayang,jijik
1115,Alah siah boy,jijik
1116,"""unch deh jadi baper""",jijik
1117,Musim patah hati pak,jijik
1118,Di ntb lagi musim dekatnya sama aku jadinya sama dia,jijik
1119,"""Baikk pak paling panik gegara di tinggalkan doang hehe:""""""",jijik
1120,aku pun memikirkan itu tadi wkwk,jijik
1121,Paan si man :v,jijik
1122,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,marah
1123,"""It's like a circle of stupidity. Atlit gak diurusin duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak """"supporter"""" karna timnya (atlit) main jelek. What a moron.""",marah
1124,"""Koq Ngabalin di sebut tokoh gak salah tuh hidungnya tambah gede ntar toko sorban kali ya.""",marah
1125,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],senang
1126,"""Di hari ini yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih makasih uwa makasih kakek makasih [URL]""",senang
1127,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,marah
1128,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],marah
1129,"""Hepibesdey canteeeekk [USERNAME] panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]""",senang
1130,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,takut
1131,"""Gue emang cuek sih bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng """,marah
