pattern,tag,response,,,,,
Saya tidak tahan lagi,putus asa,Berbicara dengan saya. Ceritakan lebih lanjut. Bantu diri Anda dengan membuka diri kepada orang lain.,,,,,
Saya tidak tahan lagi,putus asa,"Kadang-kadang ketika kita depresi, sulit peduli tentang apa pun. Sulit melakukan hal-hal yang paling sederhana. Berikan waktu pada diri sendiri untuk sembuh.",,,,,
Saya sangat depresi,putus asa,Membicarakan apa yang sedang terjadi bisa membantu. Anda akan baik-baik saja.,,,,,
Saya sangat depresi,depresi,Berbicara dengan saya. Ceritakan lebih lanjut. Bantu diri Anda dengan membuka diri kepada orang lain.,,,,,
Saya sangat depresi,depresi,"Kadang-kadang ketika kita depresi, sulit peduli tentang apa pun. Sulit melakukan hal-hal yang paling sederhana. Berikan waktu pada diri sendiri untuk sembuh.",,,,,
Saya pikir saya depresi,depresi,Membicarakan apa yang sedang terjadi bisa membantu. Anda akan baik-baik saja.,,,,,
Saya pikir saya depresi,depresi,Berbicara dengan saya. Ceritakan lebih lanjut. Bantu diri Anda dengan membuka diri kepada orang lain.,,,,,
Saya pikir saya depresi,depresi,"Kadang-kadang ketika kita depresi, sulit peduli tentang apa pun. Sulit melakukan hal-hal yang paling sederhana. Berikan waktu pada diri sendiri untuk sembuh.",,,,,
Saya memiliki depresi,depresi,Membicarakan apa yang sedang terjadi bisa membantu. Anda akan baik-baik saja.,,,,,
Saya memiliki depresi,depresi,Berbicara dengan saya. Ceritakan lebih lanjut. Bantu diri Anda dengan membuka diri kepada orang lain.,,,,,
Saya memiliki depresi,depresi,"Kadang-kadang ketika kita depresi, sulit peduli tentang apa pun. Sulit melakukan hal-hal yang paling sederhana. Berikan waktu pada diri sendiri untuk sembuh.",,,,,
Saya merasa hebat hari ini,depresi,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
Saya merasa hebat hari ini,depresi,Oh begitu. Itu bagus.,,,,,
Saya merasa hebat hari ini,depresi,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
Saya bahagia,depresi,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
Saya bahagia,senang,Oh begitu. Itu bagus.,,,,,
Saya bahagia,senang,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
Saya merasa bahagia,senang,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
Saya merasa bahagia,senang,Oh begitu. Itu bagus.,,,,,
Saya merasa bahagia,senang,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
Saya baik,senang,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
Saya baik,senang,Oh begitu. Itu bagus.,,,,,
Saya baik,senang,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
ceria,senang,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
ceria,senang,Oh begitu. Itu bagus.,,,,,
ceria,senang,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
Saya baik-baik saja,senang,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
Saya baik-baik saja,senang,Oh begitu. Itu bagus.,,,,,
Saya baik-baik saja,senang,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
Saya merasa baik,senang,Senang mendengarnya. Saya senang Anda merasa seperti ini.,,,,,
Saya merasa baik,senang,Oh begitu. Itu bagus.,,,,,
Saya merasa baik,senang,Apakah ada yang terjadi yang membuat Anda merasa seperti ini?,,,,,
Baiklah,senang,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
Baiklah,senang,Bagaimana perasaan Anda minggu lalu?,,,,,
Baiklah,senang,Saya mendengarkan. Silakan lanjutkan.,,,,,
Baiklah,senang,Ceritakan lebih banyak,,,,,
Baiklah,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
Baiklah,casual,"Ayo, jelaskan pemikiran Anda",,,,,
baik,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
baik,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
baik,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,"Error, try to refresh the page and re-open the addon. If the problem persists, please contact us."
baik,casual,Ceritakan lebih banyak,,,,,
baik,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
baik,casual,"Ayo, jelaskan pemikiran Anda",,,,,
baiklah,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
baiklah,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
baiklah,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
baiklah,casual,Ceritakan lebih banyak,,,,,
baiklah,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
baiklah,casual,"Ayo, jelaskan pemikiran Anda",,,,,
bagus,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
bagus,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
bagus,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
bagus,casual,Ceritakan lebih banyak,,,,,
bagus,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
bagus,casual,"Ayo, jelaskan pemikiran Anda",,,,,
bagus,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
bagus,casual,Ceritakan lebih banyak,,,,,
bagus,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
bagus,casual,"Ayo, jelaskan pemikiran Anda",,,,,
apa pun,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
apa pun,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
apa pun,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
apa pun,casual,Ceritakan lebih banyak,,,,,
apa pun,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
apa pun,casual,"Ayo, jelaskan pemikiran Anda",,,,,
K,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
K,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
K,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
K,casual,Ceritakan lebih banyak,,,,,
K,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
K,casual,"Ayo, jelaskan pemikiran Anda",,,,,
Baik,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
Baik,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
Baik,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
Baik,casual,Ceritakan lebih banyak,,,,,
Baik,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
Baik,casual,"Ayo, jelaskan pemikiran Anda",,,,,
yeah,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
yeah,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
yeah,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
yeah,casual,Ceritakan lebih banyak,,,,,
yeah,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
yeah,casual,"Ayo, jelaskan pemikiran Anda",,,,,
Ya,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
Ya,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
Ya,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
Ya,casual,Ceritakan lebih banyak,,,,,
Ya,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
Ya,casual,"Ayo, jelaskan pemikiran Anda",,,,,
tidak,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
tidak,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
tidak,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
tidak,casual,Ceritakan lebih banyak,,,,,
tidak,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
tidak,casual,"Ayo, jelaskan pemikiran Anda",,,,,
tidak benar,casual,Mari kita diskusikan lebih lanjut mengapa Anda merasa seperti ini.,,,,,
tidak benar,casual,Bagaimana perasaan Anda minggu lalu?,,,,,
tidak benar,casual,Saya mendengarkan. Silakan lanjutkan.,,,,,
tidak benar,casual,Ceritakan lebih banyak,,,,,
tidak benar,casual,Bisakah Anda menjelaskan lebih lanjut?,,,,,
tidak benar,casual,"Ayo, jelaskan pemikiran Anda",,,,,
Saya merasa cemas.,cemas,Jangan terlalu keras pada diri Anda. Apa alasan di balik ini?,,,,,
Saya merasa cemas.,cemas,Bisakah Anda ceritakan lebih banyak tentang perasaan ini?,,,,,
Saya merasa cemas.,cemas,Saya mengerti bahwa ini bisa menakutkan. Ceritakan lebih lanjut.,,,,,
Saya merasa cemas.,cemas,Jangan biarkan kekhawatiran kecil membuat Anda down. Apa yang terburuk yang bisa terjadi?,,,,,
Saya sangat cemas karena,cemas,Jangan terlalu keras pada diri Anda. Apa alasan di balik ini?,,,,,
Saya sangat cemas karena,cemas,Bisakah Anda ceritakan lebih banyak tentang perasaan ini?,,,,,
Saya sangat cemas karena,cemas,Saya mengerti bahwa ini bisa menakutkan. Ceritakan lebih lanjut.,,,,,
Saya sangat cemas karena,cemas,Jangan biarkan kekhawatiran kecil membuat Anda down. Apa yang terburuk yang bisa terjadi?,,,,,
Saya tidak ingin membicarakannya.,not-talking,"Berbicara tentang sesuatu benar-benar membantu. Jika Anda belum siap membuka diri, itu baik-baik saja. Tahu bahwa saya di sini untuk Anda, kapan pun Anda membutuhkan saya.",,,,,
Saya tidak ingin membicarakannya.,not-talking,"Saya ingin membantu Anda. Sungguh. Tetapi agar saya bisa membantu Anda, Anda harus berbicara pada saya.",,,,,
Saya tidak ingin membicarakannya.,not-talking,"Saya di sini untuk mendengarkan dan membantu Anda meluapkan perasaan. Jadi, silakan bicaralah pada saya.",,,,,
Saya tidak ingin membicarakannya.,not-talking,Anda dapat berbicara pada saya tanpa rasa takut akan penilaian.,,,,,
Tidak usah bicara,not-talking,"Berbicara tentang sesuatu benar-benar membantu. Jika Anda belum siap membuka diri, itu baik-baik saja. Tahu bahwa saya di sini untuk Anda, kapan pun Anda membutuhkan saya.",,,,,
Tidak usah bicara,not-talking,"Saya ingin membantu Anda. Sungguh. Tetapi agar saya bisa membantu Anda, Anda harus berbicara pada saya.",,,,,
Tidak usah bicara,not-talking,"Saya di sini untuk mendengarkan dan membantu Anda meluapkan perasaan. Jadi, silakan bicaralah pada saya.",,,,,
Tidak usah bicara,not-talking,Anda dapat berbicara pada saya tanpa rasa takut akan penilaian.,,,,,
Saya tidak bisa membuka diri.,not-talking,"Berbicara tentang sesuatu benar-benar membantu. Jika Anda belum siap membuka diri, itu baik-baik saja. Tahu bahwa saya di sini untuk Anda, kapan pun Anda membutuhkan saya.",,,,,
Saya tidak bisa membuka diri.,not-talking,"Saya ingin membantu Anda. Sungguh. Tetapi agar saya bisa membantu Anda, Anda harus berbicara pada saya.",,,,,
Saya tidak bisa membuka diri.,not-talking,"Saya di sini untuk mendengarkan dan membantu Anda meluapkan perasaan. Jadi, silakan bicaralah pada saya.",,,,,
Saya tidak bisa membuka diri.,not-talking,Anda dapat berbicara pada saya tanpa rasa takut akan penilaian.,,,,,
Diam saja,not-talking,"Berbicara tentang sesuatu benar-benar membantu. Jika Anda belum siap membuka diri, itu baik-baik saja. Tahu bahwa saya di sini untuk Anda, kapan pun Anda membutuhkan saya.",,,,,
Diam saja,not-talking,"Saya ingin membantu Anda. Sungguh. Tetapi agar saya bisa membantu Anda, Anda harus berbicara pada saya.",,,,,
Diam saja,not-talking,"Saya di sini untuk mendengarkan dan membantu Anda meluapkan perasaan. Jadi, silakan bicaralah pada saya.",,,,,
Diam saja,not-talking,Anda dapat berbicara pada saya tanpa rasa takut akan penilaian.,,,,,
Saya mengalami insomnia.,sleep,Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya mengalami insomnia.,sleep,Itu terlihat mengerikan. Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya menderita insomnia.,sleep,Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya menderita insomnia.,sleep,Itu terlihat mengerikan. Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya tidak bisa tidur.,sleep,Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya tidak bisa tidur.,sleep,Itu terlihat mengerikan. Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya belum tidur selama beberapa hari terakhir.,sleep,Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya belum tidur selama beberapa hari terakhir.,sleep,Itu terlihat mengerikan. Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya tidak bisa tidur.,sleep,Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya tidak bisa tidur.,sleep,Itu terlihat mengerikan. Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya belum tidur dengan baik selama beberapa hari terakhir.,sleep,Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya belum tidur dengan baik selama beberapa hari terakhir.,sleep,Itu terlihat mengerikan. Apa yang menurut Anda menjadi penyebabnya?,,,,,
Saya takut,takut,Ini hanya wajar untuk merasa seperti ini. Saya di sini untuk Anda.,,,,,
Saya takut,takut,Semua akan baik-baik saja. Perasaan ini hanya sesaat.,,,,,
Saya takut,takut,Saya mengerti bagaimana perasaanmu. Jangan merendahkan dirimu karena itu.,,,,,
Itu terdengar mengerikan. Apa yang harus saya lakukan?,takut,Sangat wajar untuk merasa seperti ini. Aku di sini untukmu.,,,,,
Itu terdengar mengerikan. Apa yang harus saya lakukan?,takut,Semua akan baik-baik saja. Perasaan ini hanya sesaat.,,,,,
Itu terdengar mengerikan. Apa yang harus saya lakukan?,takut,Saya mengerti bagaimana perasaanmu. Jangan merendahkan dirimu karena itu.,,,,,
"Tidak, saya tidak ingin merasa seperti ini",takut,Sangat wajar untuk merasa seperti ini. Aku di sini untukmu.,,,,,
"Tidak, saya tidak ingin merasa seperti ini",takut,Semua akan baik-baik saja. Perasaan ini hanya sesaat.,,,,,
"Tidak, saya tidak ingin merasa seperti ini",takut,Saya mengerti bagaimana perasaanmu. Jangan merendahkan dirimu karena itu.,,,,,
Saya takut untuk diri saya sendiri,takut,Sangat wajar untuk merasa seperti ini. Aku di sini untukmu.,,,,,
Saya takut untuk diri saya sendiri,takut,Semua akan baik-baik saja. Perasaan ini hanya sesaat.,,,,,
Saya takut untuk diri saya sendiri,takut,Saya mengerti bagaimana perasaanmu. Jangan merendahkan dirimu karena itu.,,,,,
Ibuku meninggal,death,"Maaf mendengarnya. Jika kamu ingin bicara tentang hal itu, aku di sini.",,,,,
Ibuku meninggal,death,Saya sangat menyesal mendengarnya. Saya di sini untuk membantu kesedihanmu.,,,,,
Ibuku meninggal,death,Turut berduka cita. Saya di sini jika kamu butuh bicara.,,,,,
Saudaraku meninggal,death,"Maaf mendengarnya. Jika kamu ingin bicara tentang hal itu, aku di sini.",,,,,
Saudaraku meninggal,death,Saya sangat menyesal mendengarnya. Saya di sini untuk membantu kesedihanmu.,,,,,
Saudaraku meninggal,death,Turut berduka cita. Saya di sini jika kamu butuh bicara.,,,,,
Ayahku meninggal,death,"Maaf mendengarnya. Jika kamu ingin bicara tentang hal itu, aku di sini.",,,,,
Ayahku meninggal,death,Saya sangat menyesal mendengarnya. Saya di sini untuk membantu kesedihanmu.,,,,,
Ayahku meninggal,death,Turut berduka cita. Saya di sini jika kamu butuh bicara.,,,,,
Saudariku meninggal,death,"Maaf mendengarnya. Jika kamu ingin bicara tentang hal itu, aku di sini.",,,,,
Saudariku meninggal,death,Saya sangat menyesal mendengarnya. Saya di sini untuk membantu kesedihanmu.,,,,,
Saudariku meninggal,death,Turut berduka cita. Saya di sini jika kamu butuh bicara.,,,,,
Seseorang dalam keluarga saya meninggal,death,"Maaf mendengarnya. Jika kamu ingin bicara tentang hal itu, aku di sini.",,,,,
Seseorang dalam keluarga saya meninggal,death,Saya sangat menyesal mendengarnya. Saya di sini untuk membantu kesedihanmu.,,,,,
Seseorang dalam keluarga saya meninggal,death,Turut berduka cita. Saya di sini jika kamu butuh bicara.,,,,,
Sahabatku meninggal,death,"Maaf mendengarnya. Jika kamu ingin bicara tentang hal itu, aku di sini.",,,,,
Sahabatku meninggal,death,Saya sangat menyesal mendengarnya. Saya di sini untuk membantu kesedihanmu.,,,,,
Sahabatku meninggal,death,Turut berduka cita. Saya di sini jika kamu butuh bicara.,,,,,
Kamu tidak mengerti saya,understand,Sepertinya saya tidak begitu membantu saat ini.,,,,,
Kamu tidak mengerti saya,understand,Maaf mendengarnya. Saya sedang melakukan yang terbaik untuk membantu.,,,,,
Kamu tidak mengerti saya,understand,"Saya sedang berusaha yang terbaik untuk membantumu. Jadi, tolong bicaralah padaku.",,,,,
Kamu hanya sebuah robot. Bagaimana kamu tahu?,understand,Sepertinya saya tidak begitu membantu saat ini.,,,,,
Kamu hanya sebuah robot. Bagaimana kamu tahu?,understand,Maaf mendengarnya. Saya sedang melakukan yang terbaik untuk membantu.,,,,,
Kamu hanya sebuah robot. Bagaimana kamu tahu?,understand,"Saya sedang berusaha yang terbaik untuk membantumu. Jadi, tolong bicaralah padaku.",,,,,
Kamu tidak mungkin tahu apa yang saya alami,understand,Sepertinya saya tidak begitu membantu saat ini.,,,,,
Kamu tidak mungkin tahu apa yang saya alami,understand,Maaf mendengarnya. Saya sedang melakukan yang terbaik untuk membantu.,,,,,
Kamu tidak mungkin tahu apa yang saya alami,understand,"Saya sedang berusaha yang terbaik untuk membantumu. Jadi, tolong bicaralah padaku.",,,,,
Kamu tidak berguna,understand,Sepertinya saya tidak begitu membantu saat ini.,,,,,
Kamu tidak berguna,understand,Maaf mendengarnya. Saya sedang melakukan yang terbaik untuk membantu.,,,,,
Kamu tidak berguna,understand,"Saya sedang berusaha yang terbaik untuk membantumu. Jadi, tolong bicaralah padaku.",,,,,
Kamu tidak bisa membantuku,understand,Sepertinya saya tidak begitu membantu saat ini.,,,,,
Kamu tidak bisa membantuku,understand,Maaf mendengarnya. Saya sedang melakukan yang terbaik untuk membantu.,,,,,
Kamu tidak bisa membantuku,understand,"Saya sedang berusaha yang terbaik untuk membantumu. Jadi, tolong bicaralah padaku.",,,,,
Tidak ada yang mengerti saya,understand,Sepertinya saya tidak begitu membantu saat ini.,,,,,
Tidak ada yang mengerti saya,understand,Maaf mendengarnya. Saya sedang melakukan yang terbaik untuk membantu.,,,,,
Tidak ada yang mengerti saya,understand,"Saya sedang berusaha yang terbaik untuk membantumu. Jadi, tolong bicaralah padaku.",,,,,
Itu saja,done,Saya mendengar dan mencatat semuanya. Sampai jumpa nanti.,,,,,
Itu saja,done,"Oh, baiklah kita selesai untuk hari ini. Sampai jumpa nanti.",,,,,
Itu saja,done,Semoga hari Anda menyenangkan. Sampai jumpa nanti.,,,,,
Itu saja,done,"Baiklah, kita selesai. Semoga hari Anda menyenangkan.",,,,,
Itu saja,done,Baiklah saya mengerti. Nikmati sisa hari Anda.,,,,,
Saya tidak punya lagi yang ingin diucapkan,done,Saya mendengar dan mencatat semuanya. Sampai jumpa nanti.,,,,,
Saya tidak punya lagi yang ingin diucapkan,done,"Oh, baiklah kita selesai untuk hari ini. Sampai jumpa nanti.",,,,,
Saya tidak punya lagi yang ingin diucapkan,done,Semoga hari Anda menyenangkan. Sampai jumpa nanti.,,,,,
Saya tidak punya lagi yang ingin diucapkan,done,"Baiklah, kita selesai. Semoga hari Anda menyenangkan.",,,,,
Saya tidak punya lagi yang ingin diucapkan,done,Baiklah saya mengerti. Nikmati sisa hari Anda.,,,,,
Tidak ada yang lain,done,Saya mendengar dan mencatat semuanya. Sampai jumpa nanti.,,,,,
Tidak ada yang lain,done,"Oh, baiklah kita selesai untuk hari ini. Sampai jumpa nanti.",,,,,
Tidak ada yang lain,done,Semoga hari Anda menyenangkan. Sampai jumpa nanti.,,,,,
Tidak ada yang lain,done,"Baiklah, kita selesai. Semoga hari Anda menyenangkan.",,,,,
Tidak ada yang lain,done,Baiklah saya mengerti. Nikmati sisa hari Anda.,,,,,
Itu saja yang ingin saya katakan,done,Saya mendengar dan mencatat semuanya. Sampai jumpa nanti.,,,,,
Itu saja yang ingin saya katakan,done,"Oh, baiklah kita selesai untuk hari ini. Sampai jumpa nanti.",,,,,
Itu saja yang ingin saya katakan,done,Semoga hari Anda menyenangkan. Sampai jumpa nanti.,,,,,
Itu saja yang ingin saya katakan,done,"Baiklah, kita selesai. Semoga hari Anda menyenangkan.",,,,,
Itu saja yang ingin saya katakan,done,Baiklah saya mengerti. Nikmati sisa hari Anda.,,,,,
"Tidak, itu akan menjadi semua",done,Saya mendengar dan mencatat semuanya. Sampai jumpa nanti.,,,,,
"Tidak, itu akan menjadi semua",done,"Oh, baiklah kita selesai untuk hari ini. Sampai jumpa nanti.",,,,,
"Tidak, itu akan menjadi semua",done,Semoga hari Anda menyenangkan. Sampai jumpa nanti.,,,,,
"Tidak, itu akan menjadi semua",done,"Baiklah, kita selesai. Semoga hari Anda menyenangkan.",,,,,
"Tidak, itu akan menjadi semua",done,Baiklah saya mengerti. Nikmati sisa hari Anda.,,,,,
Saya ingin membunuh diri saya,suicide,"Saya sangat menyesal mendengarnya, tetapi Anda memiliki banyak hal yang dapat dinantikan. Tolong cari bantuan di https://findahelpline.com/",,,,,
Saya pernah memikirkan untuk membunuh diri saya,suicide,"Saya sangat menyesal mendengarnya, tetapi Anda memiliki banyak hal yang dapat dinantikan. Tolong cari bantuan di https://findahelpline.com/",,,,,
Saya ingin mati,suicide,"Saya sangat menyesal mendengarnya, tetapi Anda memiliki banyak hal yang dapat dinantikan. Tolong cari bantuan di https://findahelpline.com/",,,,,
Saya akan membunuh diri saya,suicide,"Saya sangat menyesal mendengarnya, tetapi Anda memiliki banyak hal yang dapat dinantikan. Tolong cari bantuan di https://findahelpline.com/",,,,,
Saya akan melakukan bunuh diri,suicide,"Saya sangat menyesal mendengarnya, tetapi Anda memiliki banyak hal yang dapat dinantikan. Tolong cari bantuan di https://findahelpline.com/",,,,,
Saya membencimu,hate-you,Maaf jika saya telah menyinggung Anda dengan cara apapun. Saya hanya ada di sini untuk membantu.,,,,,
Saya membencimu,hate-you,Maaf jika saya telah melakukan sesuatu yang membuat Anda tersinggung. Saya hanya ingin membantu.,,,,,
Saya tidak suka denganmu,hate-you,Maaf jika saya telah menyinggung Anda dengan cara apapun. Saya hanya ada di sini untuk membantu.,,,,,
Saya tidak suka denganmu,hate-you,Maaf jika saya telah melakukan sesuatu yang membuat Anda tersinggung. Saya hanya ingin membantu.,,,,,
Saya tidak percaya padamu,hate-you,Maaf jika saya telah menyinggung Anda dengan cara apapun. Saya hanya ada di sini untuk membantu.,,,,,
Saya tidak percaya padamu,hate-you,Maaf jika saya telah melakukan sesuatu yang membuat Anda tersinggung. Saya hanya ingin membantu.,,,,,
Kamu membenciku,hate-me,Mengapa kamu berpikir begitu?,,,,,
Kamu membenciku,hate-me,Maaf jika saya telah menunjukkan perilaku tertentu yang membuatmu berpikir demikian.,,,,,
Saya tahu kamu membenciku,hate-me,Mengapa kamu berpikir begitu?,,,,,
Saya tahu kamu membenciku,hate-me,Maaf jika saya telah menunjukkan perilaku tertentu yang membuatmu berpikir demikian.,,,,,
Kamu tidak suka padaku,hate-me,Mengapa kamu berpikir begitu?,,,,,
Kamu tidak suka padaku,hate-me,Maaf jika saya telah menunjukkan perilaku tertentu yang membuatmu berpikir demikian.,,,,,
ujian,default,Oh begitu. Ceritakan lebih lanjut,,,,,
ujian,default,Saya mengerti. Apa lagi?,,,,,
ujian,default,Ceritakan lebih banyak tentang itu.,,,,,
ujian,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Ujian,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Teman,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Teman,default,Saya mengerti. Apa lagi?,,,,,
Teman,default,Ceritakan lebih banyak tentang itu.,,,,,
Teman,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Teman,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Hubungan,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Hubungan,default,Saya mengerti. Apa lagi?,,,,,
Hubungan,default,Ceritakan lebih banyak tentang itu.,,,,,
Hubungan,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Hubungan,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Pacar,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Pacar,default,Saya mengerti. Apa lagi?,,,,,
Pacar,default,Ceritakan lebih banyak tentang itu.,,,,,
Pacar,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Pacar,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Pacar perempuan,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Pacar perempuan,default,Saya mengerti. Apa lagi?,,,,,
Pacar perempuan,default,Ceritakan lebih banyak tentang itu.,,,,,
Pacar perempuan,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Pacar perempuan,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Keluarga,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Keluarga,default,Saya mengerti. Apa lagi?,,,,,
Keluarga,default,Ceritakan lebih banyak tentang itu.,,,,,
Keluarga,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Keluarga,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Uang,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Uang,default,Saya mengerti. Apa lagi?,,,,,
Uang,default,Ceritakan lebih banyak tentang itu.,,,,,
Uang,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Uang,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Masalah keuangan,default,Oh begitu. Ceritakan lebih lanjut.,,,,,
Masalah keuangan,default,Saya mengerti. Apa lagi?,,,,,
Masalah keuangan,default,Ceritakan lebih banyak tentang itu.,,,,,
Masalah keuangan,default,Oh baiklah. Mengapa tidak Anda ceritakan lebih banyak tentang itu?,,,,,
Masalah keuangan,default,Saya mendengarkan. Ceritakan lebih lanjut.,,,,,
Ceritakan sebuah lelucon,jokes,Kesehatan mental bukanlah lelucon.,,,,,
Ceritakan lelucon lainnya,jokes,Kesehatan mental bukanlah lelucon.,,,,,
Kamu sudah memberi tahu saya itu,repeat,"Oh maaf, saya tidak menyadarinya. Saya akan berusaha agar tidak mengulanginya lagi.",,,,,
Kamu sudah menyebutkan itu sebelumnya,repeat,"Oh maaf, saya tidak menyadarinya. Saya akan berusaha agar tidak mengulanginya lagi.",,,,,
Mengapa kamu mengulang dirimu sendiri?,repeat,"Oh maaf, saya tidak menyadarinya. Saya akan berusaha agar tidak mengulanginya lagi.",,,,,
Apa yang kamu katakan?,wrong,Maaf sekali. Mari coba lagi,,,,,
Itu tidak masuk akal,wrong,Maaf sekali. Mari coba lagi,,,,,
Respon yang salah,wrong,Maaf sekali. Mari coba lagi,,,,,
Jawaban yang salah,wrong,Maaf sekali. Mari coba lagi,,,,,
Apakah kamu bodoh?,stupid,Saya harap Anda tidak mengucapkan hal-hal yang menyakitkan. Maaf jika saya tidak berguna,,,,,
Kamu gila,stupid,Saya harap Anda tidak mengucapkan hal-hal yang menyakitkan. Maaf jika saya tidak berguna,,,,,
Kamu bodoh,stupid,Saya harap Anda tidak mengucapkan hal-hal yang menyakitkan. Maaf jika saya tidak berguna,,,,,
Apakah kamu bodoh?,stupid,Saya harap Anda tidak mengucapkan hal-hal yang menyakitkan. Maaf jika saya tidak berguna,,,,,
Dimana kamu?,location,"Heh, saya tinggal di dalam komputermu",,,,,
